year_win,team,statenme
1958,A. S. K. Riga,Soviet Union
1959,A. S. K. Riga,Soviet Union
1960,P. B. K. CSKA,Soviet Union
1961,B. C. Dinamo Tbilisi,Soviet Union
1962,P. B. K. CSKA,Soviet Union
1963,Real Madrid Baloncesto,Spain
1964,Real Madrid Baloncesto,Spain
1965,P. O. Milano,Italy
1966,Real Madrid Baloncesto,Spain
1967,Real Madrid Baloncesto,Spain
1968,P. B. K. CSKA,Soviet Union
1969,Pallacanestro Varese,Italy
1970,P. B. K. CSKA,Soviet Union
1971,Pallacanestro Varese,Italy
1972,Pallacanestro Varese,Italy
1973,Real Madrid Baloncesto,Spain
1974,Pallacanestro Varese,Italy
1975,Pallacanestro Varese,Italy
1976,Maccabi Tel Aviv B. C.,Israel
1977,Real Madrid Baloncesto,Spain
1978,KK Bosna,Yugoslavia
1979,Real Madrid Baloncesto,Spain
1980,Maccabi Tel Aviv B. C.,Israel
1981,Pallacanestro Cantu,Italy
1982,Pallacanestro Cantu,Italy
1983,Virtus Roma,Italy
1984,KK Cibona,Yugoslavia
1985,KK Cibona,Yugoslavia
1986,P. O. Milano,Italy
1987,P. O. Milano,Italy
1988,K. K. Split,Yugoslavia
1989,K. K. Split,Yugoslavia
1990,K. K. Split,Yugoslavia
1991,K. K. Partizan,Serbia and Montenegro
1992,CSP Limoges,France
1993,Joventut de Badalona,Spain
1994,Real Madrid Baloncesto,Spain
1995,Panathinaikos B. C.,Greece
1996,Olympiakos B. C.,Greece
1997,V. P. Bologna,Italy
1998,B. C. Zalgiris,Lithuania
1999,Panathinaikos,Greece
2000,Maccabi Tel Aviv B. C.,Israel
2000,V. P. Bologna,Italy
2001,Panathinaikos,Greece
2002,F. C. Barcelona,Spain
2003,Maccabi Tel Aviv B. C.,Israel
2004,Maccabi Tel Aviv B. C.,Israel
2005,P. B. K. CSKA,Russia
2006,Panathinaikos,Greece
2007,P. B. K. CSKA,Russia
2008,Panathinaikos,Greece
2009,F. C. Barcelona,Spain
2010,Panathinaikos,Greece
2011,Olympiakos B. C.,Greece
2012,Olympiakos B. C.,Greece
2013,Maccabi Tel Aviv B. C.,Israel
2014,Real Madrid Baloncesto,Spain
2015,P. B. K. CSKA,Russia
2016,Fenerbahce B. S.,Turkey
2017,Real Madrid Baloncesto,Spain
2018,P. B. K. CSKA,Russia
2020,Anadolu Efes S.K.,Turkey
2021,Anadolu Efes S.K.,Turkey
2022,Real Madrid Baloncesto,Spain
2023,Panathinaikos,Greece
2024,Fenerbahce B. S.,Turkey
