statenme,stateabb,styear,endyear
United States of America,USA,1816,2024
Canada,CAN,1920,2024
Bahamas,BHM,1973,2024
Cuba,CUB,1902,1906
Cuba,CUB,1909,2024
Haiti,HAI,1859,1915
Haiti,HAI,1934,2024
Dominican Republic,DOM,1894,1916
Dominican Republic,DOM,1924,2024
Jamaica,JAM,1962,2024
Trinidad and Tobago,TRI,1962,2024
Barbados,BAR,1966,2024
Dominica,DMA,1978,2024
Grenada,GRN,1974,2024
St. Lucia,SLU,1979,2024
St. Vincent and the Grenadines,SVG,1979,2024
Antigua & Barbuda,AAB,1981,2024
St. Kitts and Nevis,SKN,1983,2024
Mexico,MEX,1831,2024
Belize,BLZ,1981,2024
Guatemala,GUA,1868,2024
Honduras,HON,1899,2024
El Salvador,SAL,1875,2024
Nicaragua,NIC,1900,2024
Costa Rica,COS,1920,2024
Panama,PAN,1903,2024
Colombia,COL,1831,2024
Venezuela,VEN,1841,2024
Guyana,GUY,1966,2024
Suriname,SUR,1975,2024
Ecuador,ECU,1854,2024
Peru,PER,1839,2024
Brazil,BRA,1822,2024
Bolivia,BOL,1848,2024
Paraguay,PAR,1846,1870
Paraguay,PAR,1876,2024
Chile,CHL,1839,2024
Argentina,ARG,1841,2024
Uruguay,URU,1882,2024
United Kingdom,UKG,1816,2024
Ireland,IRE,1922,2024
Netherlands,NTH,1816,1940
Netherlands,NTH,1945,2024
Belgium,BEL,1830,1940
Belgium,BEL,1945,2024
Luxembourg,LUX,1920,1940
Luxembourg,LUX,1944,2024
France,FRN,1816,1942
France,FRN,1944,2024
Monaco,MNC,1993,2024
Liechtenstein,LIE,1990,2024
Switzerland,SWZ,1816,2024
Spain,SPN,1816,2024
Andorra,AND,1993,2024
Portugal,POR,1816,2024
Hanover,HAN,1837,1866
Bavaria,BAV,1816,1871
Germany,GMY,1816,1945
Germany,GMY,1990,2024
German Federal Republic,GFR,1955,1990
German Democratic Republic,GDR,1954,1990
Baden,BAD,1816,1871
Saxony,SAX,1816,1867
Wuerttemburg,WRT,1816,1871
Hesse Electoral,HSE,1816,1866
Hesse Grand Ducal,HSG,1816,1867
Mecklenburg Schwerin,MEC,1843,1867
Poland,POL,1918,1939
Poland,POL,1945,2024
Austria-Hungary,AUH,1816,1918
Austria,AUS,1919,1938
Austria,AUS,1955,2024
Hungary,HUN,1918,2024
Czechoslovakia,CZE,1918,1939
Czechoslovakia,CZE,1945,1992
Czech Republic,CZR,1993,2024
Slovakia,SLO,1993,2024
Italy,ITA,1816,2024
Papal States,PAP,1816,1860
Two Sicilies,SIC,1816,1861
San Marino,SNM,1992,2024
Modena,MOD,1842,1860
Parma,PMA,1851,1860
Tuscany,TUS,1816,1860
Malta,MLT,1964,2024
Albania,ALB,1914,1939
Albania,ALB,1944,2024
Montenegro,MNG,2006,2024
Macedonia,MAC,1993,2024
Croatia,CRO,1992,2024
Yugoslavia,YUG,1878,1941
Yugoslavia,YUG,1944,2006
Serbia,SRB,2006,2024
Bosnia and Herzegovina,BOS,1992,2024
Kosovo,KOS,2008,2024
Slovenia,SLV,1992,2024
Greece,GRC,1828,1941
Greece,GRC,1944,2024
Cyprus,CYP,1960,2024
Bulgaria,BUL,1908,2024
Moldova,MLD,1991,2024
Romania,ROM,1878,2024
Russia,RUS,1816,2024
Estonia,EST,1918,1940
Estonia,EST,1991,2024
Latvia,LAT,1918,1940
Latvia,LAT,1991,2024
Lithuania,LIT,1918,1940
Lithuania,LIT,1991,2024
Ukraine,UKR,1991,2024
Belarus,BLR,1991,2024
Armenia,ARM,1991,2024
Georgia,GRG,1991,2024
Azerbaijan,AZE,1991,2024
Finland,FIN,1917,2024
Sweden,SWD,1816,2024
Norway,NOR,1905,1940
Norway,NOR,1945,2024
Denmark,DEN,1816,1940
Denmark,DEN,1945,2024
Iceland,ICE,1944,2024
Cape Verde,CAP,1975,2024
Sao Tome and Principe,STP,1975,2024
Guinea-Bissau,GNB,1974,2024
Equatorial Guinea,EQG,1968,2024
Gambia,GAM,1965,2024
Mali,MLI,1960,2024
Senegal,SEN,1960,2024
Benin,BEN,1960,2024
Mauritania,MAA,1960,2024
Niger,NIR,1960,2024
Ivory Coast,CDI,1960,2024
Guinea,GUI,1958,2024
Burkina Faso,BFO,1960,2024
Liberia,LBR,1920,2024
Sierra Leone,SIE,1961,2024
Ghana,GHA,1957,2024
Togo,TOG,1960,2024
Cameroon,CAO,1960,2024
Nigeria,NIG,1960,2024
Gabon,GAB,1960,2024
Central African Republic,CEN,1960,2024
Chad,CHA,1960,2024
Congo,CON,1960,2024
Democratic Republic of the Congo,DRC,1960,2024
Uganda,UGA,1962,2024
Kenya,KEN,1963,2024
Tanzania,TAZ,1961,2024
Zanzibar,ZAN,1963,1964
Burundi,BUI,1962,2024
Rwanda,RWA,1962,2024
Somalia,SOM,1960,2024
Djibouti,DJI,1977,2024
Ethiopia,ETH,1898,1936
Ethiopia,ETH,1941,2024
Eritrea,ERI,1993,2024
Angola,ANG,1975,2024
Mozambique,MZM,1975,2024
Zambia,ZAM,1964,2024
Zimbabwe,ZIM,1965,2024
Malawi,MAW,1964,2024
South Africa,SAF,1920,2024
Namibia,NAM,1990,2024
Lesotho,LES,1966,2024
Botswana,BOT,1966,2024
Swaziland,SWA,1968,2024
Madagascar,MAG,1960,2024
Comoros,COM,1975,2024
Mauritius,MAS,1968,2024
Seychelles,SEY,1976,2024
Morocco,MOR,1847,1912
Morocco,MOR,1956,2024
Algeria,ALG,1962,2024
Tunisia,TUN,1825,1881
Tunisia,TUN,1956,2024
Libya,LIB,1951,2024
Sudan,SUD,1956,2024
South Sudan,SSD,2011,2024
Iran,IRN,1855,2024
Turkey,TUR,1816,2024
Iraq,IRQ,1932,2024
Egypt,EGY,1855,1882
Egypt,EGY,1937,2024
Syria,SYR,1946,1958
