year_win,team,statenme,stateabb,styear,endyear
1958,A. S. K. Riga,Soviet Union,URS,1952,1988
1959,A. S. K. Riga,Soviet Union,URS,1952,1988
1960,P. B. K. CSKA,Soviet Union,URS,1952,1988
1961,B. C. Dinamo Tbilisi,Soviet Union,URS,1952,1988
1962,P. B. K. CSKA,Soviet Union,URS,1952,1988
1963,Real Madrid Baloncesto,Spain,SPN,1816,2024
1964,Real Madrid Baloncesto,Spain,SPN,1816,2024
1965,P. O. Milano,Italy,ITA,1816,2024
1966,Real Madrid Baloncesto,Spain,SPN,1816,2024
1967,Real Madrid Baloncesto,Spain,SPN,1816,2024
1968,P. B. K. CSKA,Soviet Union,URS,1952,1988
1969,Pallacanestro Varese,Italy,ITA,1816,2024
1970,P. B. K. CSKA,Soviet Union,URS,1952,1988
1971,Pallacanestro Varese,Italy,ITA,1816,2024
1972,Pallacanestro Varese,Italy,ITA,1816,2024
1973,Real Madrid Baloncesto,Spain,SPN,1816,2024
1974,Pallacanestro Varese,Italy,ITA,1816,2024
1975,Pallacanestro Varese,Italy,ITA,1816,2024
1976,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
1977,Real Madrid Baloncesto,Spain,SPN,1816,2024
1978,KK Bosna,Yugoslavia,YUG,1878,1941
1978,KK Bosna,Yugoslavia,YUG,1944,2006
1979,Real Madrid Baloncesto,Spain,SPN,1816,2024
1980,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
1981,Pallacanestro Cantu,Italy,ITA,1816,2024
1982,Pallacanestro Cantu,Italy,ITA,1816,2024
1983,Virtus Roma,Italy,ITA,1816,2024
1984,KK Cibona,Yugoslavia,YUG,1878,1941
1984,KK Cibona,Yugoslavia,YUG,1944,2006
1985,KK Cibona,Yugoslavia,YUG,1878,1941
1985,KK Cibona,Yugoslavia,YUG,1944,2006
1986,P. O. Milano,Italy,ITA,1816,2024
1987,P. O. Milano,Italy,ITA,1816,2024
1988,K. K. Split,Yugoslavia,YUG,1878,1941
1988,K. K. Split,Yugoslavia,YUG,1944,2006
1989,K. K. Split,Yugoslavia,YUG,1878,1941
1989,K. K. Split,Yugoslavia,YUG,1944,2006
1990,K. K. Split,Yugoslavia,YUG,1878,1941
1990,K. K. Split,Yugoslavia,YUG,1944,2006
1991,K. K. Partizan,Serbia and Montenegro,SCG,2004,2006
1992,CSP Limoges,France,FRN,1944,2024
1992,CSP Limoges,France,FRN,1816,1942
1993,Joventut de Badalona,Spain,SPN,1816,2024
1994,Real Madrid Baloncesto,Spain,SPN,1816,2024
1995,Panathinaikos B. C.,Greece,GRC,1944,2024
1995,Panathinaikos B. C.,Greece,GRC,1828,1941
1996,Olympiakos B. C.,Greece,GRC,1944,2024
1996,Olympiakos B. C.,Greece,GRC,1828,1941
1997,V. P. Bologna,Italy,ITA,1816,2024
1998,B. C. Zalgiris,Lithuania,LIT,1918,1940
1998,B. C. Zalgiris,Lithuania,LIT,1991,2024
1999,Panathinaikos,Greece,GRC,1944,2024
1999,Panathinaikos,Greece,GRC,1828,1941
2000,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
2000,V. P. Bologna,Italy,ITA,1816,2024
2001,Panathinaikos,Greece,GRC,1944,2024
2001,Panathinaikos,Greece,GRC,1828,1941
2002,F. C. Barcelona,Spain,SPN,1816,2024
2003,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
2004,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
2005,P. B. K. CSKA,Russia,RUS,1816,2024
2006,Panathinaikos,Greece,GRC,1944,2024
2006,Panathinaikos,Greece,GRC,1828,1941
2007,P. B. K. CSKA,Russia,RUS,1816,2024
2008,Panathinaikos,Greece,GRC,1944,2024
2008,Panathinaikos,Greece,GRC,1828,1941
2009,F. C. Barcelona,Spain,SPN,1816,2024
2010,Panathinaikos,Greece,GRC,1944,2024
2010,Panathinaikos,Greece,GRC,1828,1941
2011,Olympiakos B. C.,Greece,GRC,1944,2024
2011,Olympiakos B. C.,Greece,GRC,1828,1941
2012,Olympiakos B. C.,Greece,GRC,1944,2024
2012,Olympiakos B. C.,Greece,GRC,1828,1941
2013,Maccabi Tel Aviv B. C.,Israel,ISR,1948,2024
2014,Real Madrid Baloncesto,Spain,SPN,1816,2024
2015,P. B. K. CSKA,Russia,RUS,1816,2024
2016,Fenerbahce B. S.,Turkey,TUR,1816,2024
2017,Real Madrid Baloncesto,Spain,SPN,1816,2024
2018,P. B. K. CSKA,Russia,RUS,1816,2024
2020,Anadolu Efes S.K.,Turkey,TUR,1816,2024
2021,Anadolu Efes S.K.,Turkey,TUR,1816,2024
2022,Real Madrid Baloncesto,Spain,SPN,1816,2024
2023,Panathinaikos,Greece,GRC,1944,2024
2023,Panathinaikos,Greece,GRC,1828,1941
2024,Fenerbahce B. S.,Turkey,TUR,1816,2024
